y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,C_1,C_2,C_3,C_4,C_5
-6.158895,-7.518161,5.423677,11.81036,-19.076321,-7.018273,23.841339,1.050206,3.132453,4.403462,NA,11.650628,-1.628703,7.150383,NA,-6.569049,NA,-6.326606,19.353104,-5.192543,-30.319921,-46.781284,NA,-9.329588,1.286671,-9.324659,0.021434,-6.784188,NA,0.249806,-9.426065,-13.055018,NA,-14.26905,-19.44214,0.565724,-5.360941,-3.140313,-1.293608,9.979938,-1.006195,NA,7.535949,19.956136,-21.388213,0.396458,NA,3.617977,-11.043177,20.099127,NA,-7.713454,2.72857,-11.125293,9.532392,16.504092,10.005641,NA,-1.531024,-10.607486,-4.088725,-7.815033,-10.565534,7.252523,NA,-17.21525,-6.057203,NA,NA,0.47348,8.063346,0.292972,1.210471,NA,-8.70641,-7.237798,27.858997,-9.080361,7.214529,-2.353104,-1.033498,5.749369,-21.002719,-4.235407,14.856026,-7.669709,-2.59021,-1.943897,3.011972,-31.614019,-3.990017,3.692902,12.826477,-6.889479,3.443535,5.40012,I,NA,H,J,K
-22.200026,-6.37069,7.792366,11.858663,NA,-15.42053,21.68397,1.057192,2.559764,NA,-4.286417,NA,-4.631743,5.231463,-1.770633,-14.038242,12.59199,-7.89742,13.172934,NA,-30.718193,-48.498474,9.470035,-9.570738,4.425472,NA,-3.654641,-9.615384,2.625247,-6.643344,NA,-12.282959,-5.611703,-21.810952,-15.12645,2.622056,-2.770515,NA,3.797391,8.163923,-3.714533,11.7263,10.493439,20.106878,-18.46481,-1.102169,-8.597014,NA,-15.649545,NA,13.211777,-12.189531,-1.946032,-12.540393,9.321347,21.412742,5.166925,-13.488966,-3.754423,-8.22286,-2.570999,-8.852446,-13.307839,NA,NA,-19.816518,-8.821642,-24.737182,16.988013,1.710817,1.009498,2.812879,5.553564,-13.959325,-8.378521,-7.250594,21.888248,-8.991976,1.592467,-2.04617,-0.603301,4.606239,NA,-4.95373,NA,-4.959901,-3.573072,-1.583166,NA,-28.88036,-6.55214,7.270303,10.039281,-7.678936,-0.189822,0.717526,H,NA,H,I,I
-19.357551,-4.229569,2.756115,12.446836,-17.567113,-12.984783,NA,2.484515,NA,1.852533,NA,17.486952,NA,1.930612,-1.332471,-10.048902,NA,-6.336131,17.352353,-5.083833,NA,-47.604601,8.150276,-10.117444,0.704339,-0.375152,1.239802,-10.407948,3.395998,-0.899597,-8.491648,NA,-6.843481,-21.579164,-20.428225,3.37196,-0.612664,-5.020169,4.321253,7.600015,-1.941076,10.568386,9.910989,19.451331,-20.548358,3.094631,-8.799349,4.158529,-10.336883,16.834317,15.782778,-7.930533,1.114456,-7.499732,9.04348,18.769666,5.938376,-14.512384,-0.875422,-7.542347,-3.045874,NA,-11.730947,12.776474,-8.402685,-18.539624,-7.120219,NA,12.391264,4.584661,6.881726,3.167999,NA,-10.688834,-9.661116,-8.285392,25.985637,NA,4.389893,2.915419,-0.240004,0.96302,NA,NA,14.814561,-6.450081,-4.023667,2.648645,4.067629,-32.769482000000004,-5.438118,5.889789,14.186614,-9.527944,0.400832,-2.458897,NA,I,K,J,G
28.763803,-10.487072,1.460685,9.307533,-21.306282,-19.824912,NA,-0.442587,0.743039,-0.376102,-7.535363,14.001357,-7.506995,3.158062,-5.188231,-11.417157,10.642771,-6.281967,14.266091,-6.570729,-29.637151,-53.304492,8.257131,-10.426937,-0.057279,-7.301749,0.526728,-8.864715,-5.659815,-4.260242,-10.478293,-14.303002,-11.614578,-22.283882,NA,-3.641979,-7.880841,-5.825881,NA,7.387441,-4.263991,8.171288,2.613337,17.91705,-21.928951,-3.430399,-10.071897,0.974002,-11.016901,NA,18.16487,-15.949924,-0.231139,-10.434424,NA,17.718805,5.155496,-17.999065,-6.264321,NA,-6.267898,-6.868919,-15.179679,NA,-12.875759,-23.058691,-12.208703999999999,-25.981701,12.222231,5.976293,8.107775,0.136644,2.832283,-13.990068,-7.495333,NA,24.909461,-10.152258,0.610124,-3.86182,-4.670731,-0.416059,-28.761382,NA,16.16916,-9.926282,-4.987491,3.992532,3.954274,-35.846878,-10.208559,7.024105,8.871258,-7.5144,-3.448892,-2.612379,K,H,I,I,NA
43.779898,-13.066517,4.812794,10.641948,-17.691825,NA,19.057921,1.900578,6.133609,-0.771247,NA,NA,-6.878507,3.227197,NA,-9.681328,9.842435,-6.236473,17.282489,NA,NA,-46.076722,11.685361,-11.098326,-0.250886,-7.215364,1.356957,-5.40675,-0.485979,-3.424344,-14.213219,NA,-7.077584,-19.438706,-20.516524,-2.295225,-2.590307,-3.431075,0.656794,7.556496,-2.966623,7.801001,8.131412,16.618893,-20.676296,-2.642823,-8.786525,NA,-7.37572,NA,18.152688,-11.726949,-0.002731,-10.421002,4.922581,NA,7.606067,-15.928092,0.106829,-9.125727,-7.168265,-5.061987,-17.523786,NA,-4.781986,-18.220099,-5.385989,-20.872028,NA,1.218669,4.780423,-1.316545,4.905989,-13.810133,-6.351323,-8.898965,25.686846,NA,0.774705,-2.845252,-0.126812,4.401724,-22.90894,-7.001034,11.095319,-8.243526,-4.021144,3.152862,3.366474,NA,-3.632849,8.186575,10.532577,-7.509476,NA,0.754905,H,H,K,J,J
64.446439,-12.34343,1.585807,6.144055,-19.207376,NA,18.923577,-0.671703,5.871724,0.011926,-7.344098,14.223984,-3.887798,2.6654080000000002,-3.476201,-16.142083,11.251393,NA,16.92019,-9.910208,-37.591313,-52.463803,NA,-13.606736,2.313018,-5.017948,-4.646947,-13.506759,-0.684134,-6.39131,-8.806207,-13.001201,-7.157286,-19.677208,-17.312224,-2.980935,-5.798267,-2.41823,2.840746,7.613066,-5.197614,7.465943,NA,21.892688,-21.504645,-3.624602,-11.281069,5.883876,-13.750337,19.279893,14.750045,-10.533535,-4.047902,-18.045823,12.024375,19.038109,5.449281,-16.048666,-3.599264,-6.557247,-6.204873,-9.500979,-17.801391,12.871295,-8.051381,-21.116756,NA,NA,13.813749,4.768135,3.222323,6.68347,1.569164,-7.536019,-10.551536,-9.928284,20.899052,NA,NA,-0.625605,-2.250368,3.808202,-25.847887,-4.875353,NA,-11.542532,NA,-1.578019,1.510551,NA,-4.899747,5.335232,10.717099,-5.961429,-1.918641,1.116708,J,H,NA,I,J
64.858388,-11.878412,5.171005,7.476696,-20.9724,-19.574766,19.815471,-0.108392,1.104023,-5.476758,NA,NA,NA,0.968399,-4.842004,-13.253224,NA,-12.584264,13.501076,NA,NA,-52.659283,NA,-12.525116,0.535911,-10.759076,-4.550772,-11.226612,-1.542811,-6.544612,NA,-12.985887,NA,NA,-21.321106,-5.111268,-8.726674,-4.958251,-3.04492,4.922766,NA,3.927724,NA,NA,-23.334486,-1.961309,-10.97302,0.80355,-13.956637,14.560558,15.766427,NA,-1.288605,-11.109784,4.990996,18.414128,3.529648,-20.354681,-5.052789,-8.300663,-3.334113,-5.735121,-14.831773,9.585333,-6.87135,-26.687898,-8.026967,-23.109796,12.029007,-3.440544,3.38935,-1.261754,2.726716,-13.576305,NA,NA,NA,NA,-0.587125,-5.375203,-5.042653,1.280942,-25.163109,-7.463914,11.762249,-9.919755,-8.303709,-3.511208,-0.642916,NA,-6.226604,7.331478,NA,-11.371366,-4.425823,-0.746085,K,H,K,I,G
-1.275473,-6.886923,4.77575,12.921379,-16.10257,-15.396862,24.421724,NA,1.631487,4.273658,-4.108163,15.604798,-3.840787,NA,-0.749098,-8.484258,15.048565,-1.041323,18.12823,-1.322018,-29.863919,-41.344482,NA,-11.125818,2.813683,-5.05544,0.646725,NA,-0.333808,-1.40425,-10.294816,-7.705564,-7.261109,-18.054251,-17.648855,4.248729,-2.166034,-2.029699,1.380203,10.454794,-3.79705,13.771341,7.959549,20.290908,-16.978383,NA,NA,NA,-13.112348,14.431247,18.790594,-8.986799,-0.519856,-8.299815,7.09059,19.029522,9.930205,-14.727769,NA,-5.932858,-2.549735,-5.079316,NA,13.588765,-6.311827,-20.720579,-3.521583,-17.666306,NA,2.923125,8.35599,3.22729,NA,-11.87271,-4.60901,-4.431215,26.231914,-7.505514,4.792987,-1.510447,0.610047,NA,NA,-0.960649,18.267026,-10.667548,-1.519395,3.154451,4.580693,-32.265212,-2.426063,11.3395,11.987604,-4.387851,4.351146,1.038891,H,NA,I,K,K
-14.237322,-5.641797,6.432033,12.691382,-17.376434,-15.327181,24.301918,3.409882,6.070244,5.097267,-0.423482,20.469387,0.005229,8.088363,1.576768,-7.488523,13.958698,NA,17.579804,-3.019528,NA,NA,14.647309,-7.569739,5.012751,NA,2.098616,-4.260305,3.857458,-2.449215,NA,-8.797733,-7.335459,-20.879407,NA,0.810687,-1.506135,0.675744,4.254503,8.12809,-2.887777,14.849554,10.160295,24.999262,-14.302487,1.491656,-7.392234,NA,-6.730114,18.457179,24.082216,-12.404318,NA,-6.084447,8.872006,20.658999,NA,NA,3.888317,NA,-0.735036,-5.025925,-7.214782,14.863349,-9.605451,-17.913072,-6.589297,-21.358081,18.18806,6.03061,6.854444,5.039964,NA,-8.68488,NA,-9.827262,31.081561,-5.213531,5.392909,2.036646,-0.056352,1.513634,-24.050237,1.899579,18.771463,NA,-0.497798,NA,8.88905,-27.54474,-4.16598,9.604565,16.250239,-7.430544,3.875365,2.145306,I,I,G,J,K
32.472854,NA,6.351975,NA,-18.911003,-14.434461,23.158384,5.613799,7.025376,NA,-2.449885,11.275534,-6.802314,-0.902589,-1.383723,-9.149703,17.651587,-6.264214,16.509694,-2.422381,-30.197197,NA,10.079858,-11.366424,0.210473,-7.314461,1.26795,-5.845044,0.07918,-6.265957,NA,-16.63878,-4.457628,-19.091863,-17.335031,-2.13572,-2.531676,1.276747,3.068116,11.633144,-1.765503,14.890681,6.586309,20.358275,-20.020746,-2.935111,NA,NA,-7.788655,16.063102,18.55229,-11.746505,-0.01803,-8.373947,6.931855,13.916847,5.972057,NA,-2.342252,-1.248091,-4.032366,-4.712581,-11.66566,12.66654,-9.504601,-16.479437,-6.239727,NA,NA,NA,10.103966,2.306302,NA,-14.108687,-4.666659,-6.506678,27.861125,-9.218351,NA,0.282915,-0.594049,8.9162960000000009,-23.555651,-1.889342,18.486297,-5.873398,-1.004571,6.994019,3.945343,-29.811815,NA,10.439555,7.385539,-8.639726,-5.705962,-0.66859,NA,I,H,I,J
